PROD_ID,AVG_RATING
6026a3c6f7bfeb658e559dd333d90a218adc80d0,3.67
f788b7e1d744fa1a07911c80f445d0196381a353,3.00
51e380b49e80a717e2b5ffa1316c917eb01edfa2,4.20
d71a56c4a1015cafb13f9d1f8d5413ef80938ab5,4.08
43a73be548b303c9eea6cda6f38b77582d5003d5,3.70
54607d80f4c0a7a3a37f11864e7ba91c38482004,3.67
518843d1e11ec0003ccc1fdecbd1175212c9b6b6,4.00
5b2b70b3698814192559df4d59e73059353cf208,3.87
ecb94e9b611a705f9c835a241feb7b8e2e2c9957,3.50
2b409b850beec7cf99427f44b7404949bf55305f,3.72
58004612fe043fb169117f45b782a7393446a581,4.00
8fba21c7778393b86414d2291642ce406f4cc305,2.83
0d98941a654be71f05ed678556961bb1ccd8c1fd,3.58
23daf02997fca0189e072f89abb0bb24f190effa,4.47
0c78fd11cfa7602c69dcd4964957fde3b90507dd,0.00
df8600cec8e8e86da2fef31475c984aa2f5c11d5,4.13
816c52fd2bdd94a63cd0944823a6c0aa9384c103,3.60
5a484d8ee5f13a3b9552224ce4013705c7c6265c,5.00
03b19185269c71557c0ff0bc5cef8bbd46aef980,2.73
699d93a409db91fef10f5b45addfca3d602f5374,4.00
33ac7be157acf08b41708d1ba84ad6569564336b,3.39
07721487411e1d566131323865cce8ade2bf3070,4.07
4e2f07090ec72f48da2184f0166eb9f9b0bd7c2c,4.91
0997ed76bc11bd125234828227f138becefdacc9,3.38
c31e97212ae0187b2e67cd289c55aef2ceb2e0c3,4.55
fd84c2e5a32fb132d03f8a61bcb12ebc02b32ae1,4.96
8d0b5e25973d04767a8f39481d1d985c3a11eba6,3.55
8a7b9eadc09b43afa96ce42c5febdca94ea8ac04,3.71
ca0d05e8570859c54b7364aea94692c3a2614b58,3.91
bb74de225e8cfff81b0fce0f03bd859d9b0505ae,3.00
6fc0b49ba11516cf93bea4a1acb0d5bf3576d020,3.33
797422794f9af46890b63b16c9ed2249f63dfb15,3.37
921ebcb032f608d37a70a9d8f8a51b3626d75f14,3.97
12e3c87a239330a353cc5c8b64a357bca9aaa5f7,0.00
1899a9de0d39a15b6d0af90f63aeb65fe1c2c2a9,4.47
4fe0b7899cb814df485a5111253a73d1240ad314,4.15
da6c7c7efadc7267175759a40da80df23dad45de,3.89
95eacaa0ba21f42b13786cd926b5ff96dc0122bc,4.07
a7e11acdcf1ea93bc1ae4e6782d3d9c8058d8ed9,4.00
4c2c45d27a40b2998f04b13b9d7872a526ef8792,3.68
42bce8e0ced808601a9b4d13a89c0d660330709b,0.00
1e8701910183919d4a89bcf70db39653e5010821,4.25
7331761c2a6ca0154a35fbef00c645f0dcb76195,3.23
24590fdd7d11761c55c8198bd8a7fa1e90f68475,0.00
8724002b09cff1a07ea5c7d57b1c2ed96828d2c8,0.00
729679ca465c492dafe2b634d1b367061a2db53e,4.51
1fb5206335c4389fbdb83b4a4ceee00d576252f4,3.00
efe05b2f2375818281b953a966b69a8a27ec80e8,3.30
51de075b9f8f8b58295bac148d5793d829901af8,4.26
b730276c4a695493c16e2a839151dc4ce12305eb,5.00
c7ca575253cb2e7649262d8d87dfa9d77a695f4b,3.81
c093e0ed2195bf4dce68f0644886802573be1d0a,3.62
32ccd87a4df6d29b0f860c63f7499ffde8e9f35a,2.62
a3e203a0691340ebaf9cccd03ce72064a34c55ff,3.40
0e731412c2a652eb9f060f80489b918e999d1525,4.45
c6bb70cdebef432007d97514c7136c5fe5040409,4.49
2d28f5d3e22badbcd3b15e409bdd79ec098274f9,0.00
eacd102fdc107e61d80a44846dea92011922f9e3,3.84
47339760f3dda4ec27587e5824c959eea401f3bd,0.00
e961547286386834d1a44736ba23d4dba516491d,4.00
1820bea062d9a7a1dfb14b074e89f2dd0e9db87c,3.88
df56bfb62d9dba01f8ee5a153cdaf867cf129cee,4.00
21a9c1fcb4122bba3637584a5b66e3476f86c962,3.91
d80f209c483a8c04d6966cf82d9b7b18e99eabe0,4.18
d119229fd44cee4a98a0333144a940da0b7640a5,0.00
da93846e4a9f7d8a202adb4e5b81196048bed5df,4.21
88146e4e922e2fa9b4840131416dbc0d7bd11f36,2.50
7e9559778ac42d8a9654c8d77d20a9487aaf4ddd,2.76
428b9fa700b463ac8120fc3523052f15ede11779,4.77
36bd7f33b7725172fd391b2ddc7eae1b8984136c,3.57
1bcd94056d0ad6410322c1d4cd244245c8b3ac0f,2.75
f859fe9f03a35dd0e81f413ac0cfa53f6ad2a488,3.13
4f1c7abf259b92bc087b67e400f85e04361fa975,3.95
f46e76739b4b84c33b01005ad417cc8741d555ef,0.00
03853ae496b727ab3f553f52218bd6def2db288d,4.26
1fe416662e6268ece0b3a71b9b85968ab9142ae8,4.47
eb36be3e3bcc1d4d44056aa564b4af82f9f1cf00,4.55
b64b043d597c1b932c3f593ba1379e1c8ca24d62,0.00
97a7a570c8ede9be3bb8ca6edb1ee14e1012c595,2.75
857be64c34a0df36834c6e2d313d9b57afd7eae5,0.00
0dd4a1caad979bd412f411fd339bc1e388a69024,4.31
068fb22f3c985046361b3a3b1a1537a5efb1e303,3.82
e18e4157869c79e4276a023ca032873564a6f594,3.58
ee1f23a084dfabfdd3390e79a8751392e6006007,3.71
c66b03302e875b3d3c80bba17abf00303100f0fd,0.00
52d0fe488fa9e035f5502f5287e2fb731ceb206b,0.00
c0da87a30ab229489eb7d8b827aca5d46c209da8,3.45
ff066cb4a015ae70922153de143dc5a08c912ae5,0.00
5d154c2bb08f14fbfacab5f6316a46a2571e37d1,4.29
c286799053a4d3990383d37c0ff063c63c39c212,4.31
e94c6108f0dd0ff6f3e5daa6709d7adb7d058031,3.65
9f494961ea90314bbaba17d4ff2598c392dcf70f,0.00
f027e7c8baaf47da1769b54c2ff9451a0d9e15b8,3.50
3c727df43a591147e1d959e7cf15a8c3769048e4,3.86
a3e86e4c9993d799eda9168ae2143d8637e582c2,4.02
41d81941ae20a759f22054a1041bafa7f9f59e37,3.32
dd8258be97c003e205ac870537983f41fc267cbc,3.72
2d456ec2005c0dad5c81f5be7df418a37276f5fb,4.33
0b6a114bf45c012b1b6af34fd2c70cac91ebf178,0.00
d6d26b85e9c0be222d821a8dea572a0450c64031,3.48
5fea5b147e558719765f1125325f7b2a142cd2a7,3.65
0d4afd568fb73ddc2a2794ebaa3fcadd72aaa7b1,3.17
0c9458476d174fb4f251db8d70aa5288c85f97ee,2.60
87bf1f3e0473ca964540b76c62ce28ee34c4f6a8,5.00
d0fdf03248957a003a1284d7b2aad3ef63118567,4.18
bd5c60feab0734744d41f7e4dd184b5a35f9e996,3.73
9e51e2153385dbd8bc75eca595099c8071cc374a,4.69
a0a4b95bade2f351cd99ee5468b5d08bf03e72d5,4.13
672eeb669bfc843fa44740e00283839ddb979668,3.00
9fc9941a4f86c53949ae58eb9184751e5b7600d6,4.17
78cca3e874ff6f93d02a67831b699ce125421d4f,4.62
9cffb794ba5b35341c8001ecf62125f5c546b8a2,3.62
bbf0b85aa2e37f8657f148fb59a14abe61d740cb,3.68
c60c0c5552b157fac2e8afb926b851f3fa3b7aa0,3.07
2ecda68f3c22833dd0dc93e05d0e87d741ffd7f4,4.00
dffe66e4f5fb1172ee6706bc458f466bdcbbb4c0,3.84
99adcab2872548992d578dae47c285cfdb1eb128,4.21
a68b5bf576c1e1bacde358e232fe032040868e42,4.11
51574e494d2404f351edfdc6b85f082b7555ec81,3.81
76c9d6f8d61813257a9faea2c453acf1d1dfe445,4.21
3baf35eb957ab8941a585f04776b09f4043a414a,0.00
b92b420dc8edda752b9757e359cdf5c273ffab81,3.80
fffa04153bfc0474ff23e066f86c9b04960f61ab,2.69
2421c9d086ddb4a1627b6601bb2d32c0d1d35a7a,0.00
e2e09a96d86182b397286e3989a805437af692be,0.00
52ecdc62072da5be954127f573686364a1605991,2.91
a303844dc047d16c8a8623b3eb9218adbea6de98,4.25
5247b25920e0148e9b7510ea19c164e41c547ee6,3.89
60f55934f48155f98bcc6a811695a395f870362c,3.36
45b2ec3d2f9f8fe8cec3086c5a3ab9043e9f0cac,4.11
5385f17853672cc62874c4bed3a18fde8a019edd,4.25
6ebba034c5cc7b1259c42d00d20fb77410714755,3.68
3a592067ffec937f44e266d7cc427a8d010863f3,4.00
c83d4f074f5ef583d6734b99f22d52f26e019f39,3.77
fc5e5ec038c70ef9283c9c743c5cc8d6bb6c0a64,3.75
ad3f46dd787a56ac6578846febb45171b89991b4,4.12
2c35effec7e690a7ec4c97407e786dddf065076e,4.29
ecb524b5b8058cfdbc5f9d7a729e188a48479c31,3.84
1d977243803a7cfb71bbaa15986b4561768d2a1c,2.92
82272ba83f875f7ca36a36231bd6060d36e72079,4.10
c8d7510ec33820830cc29faf34b47732fe7a4c2d,3.95
22a8fa80ab0aab67ece788ef92888e14f99ed630,3.52
ba50be4bd2ee9fd2b205fdeb37296ec929009258,4.12
2cbcccd7fe4da9ee8d6ac5c6669f3df886f8077c,3.88
46e0e008e008cfd62f75ab4eed556743d9d35bb2,0.00
a948f4a480bbe2675a652b046319b43b35d45fa4,3.06
59fa3c45a9a88c9ed4a11d6b755730bbb492da74,4.05
1360658ccae154693cd5aa7f297aa240ad799d5a,3.36
5ccbeee2b9ae9534bfc4d8078019184f34f68615,0.00
d212ebdd8e6e9eb16de41d3cfa8fd688d6a308ca,3.81
11d3d452447e9ab9a134ea20401f9d5a6ae3b219,4.19
d86d09f30d2aafcc4f617775fae5e41cd1fbbe14,4.25
110014160362bff18258d7db6a5684f5f99182da,0.00
debdaad995bd2e4dc7178d784be0d161a831b919,3.26
81257535afeb71529c04efa99dfa6f33a8de101f,3.65
399c60493221bc76e6bde2b081c81c1fe8b20772,3.10
33051fa0390f056eb3ca7d986a5e2280e77276f0,2.92
f16557cc654d41b153d40a16e1a9bd417459ba85,0.00
46999cb0a9be54c11699bafaecb6c28adb3d0738,3.99
66464737fc8a3e089ab1abeda42a8c89029b0ee1,0.00
5b59a6137644de8685acfca8695651f6536d73e1,0.00
9cafcd50eab6a4be454bd516bb6fc7ffd2105c14,0.00
09186baf81d112244abb246a6c56999eaf2b32f1,3.59
dfac13b7bbfd03cd54c79bbdacbeae897cd8c8c7,4.04
48e17c3921e98af9d8735193d2527e1c342f7cb8,2.52
37b80fe1cce75f66422e135abd975f69856187fb,3.63
c7116629a6a855cb774d9c7c8ad822fd83c71fb5,2.00
a13dee72480b69608a6a13e085d419a3b33e12e1,0.00
3451282d95340ec1b78910a45302ca695d8f36a4,4.00
463ed59e36645314feeeddcec1176cc27819e4e9,3.56
9600e5c848df15f23f9e9c1e21a553121ad36d32,4.03
5af1c394429e9591754eb888bf4b59d3b46b5f42,3.67
9427b1aa8e80a0e4f7ceddd195ad3692ea79d797,4.36
77ea01d9c10e672f827b046a8f57807285a60455,3.27
3849ca39ff63d76d36bbbe8d23021e0097adf733,3.87
c2a191fea3d9ec49252ec0f4db72137cc99482c5,3.00
7ab588c199fb768ba32fd7b23e09fcf19c8a1463,4.22
44c88d98600ffed745bba7421f07301061e80144,4.73
d96f588cacd5feff87e67af58e961c665a3412f3,3.36
a36a6718f54524d846894fb04b5b885b4e43e63b,4.08
2cfec547996803db107696b9b3fcc03053e5ef89,3.92
06d5ec62bfc896a5ad10c7a1c0f264e09eaddc1e,4.30
584eeb6488d2cbefa4c569c8a99756b9e8fe1088,3.86
f084cea5a2b5860c95bdc0cff2aca9bda149a6fe,1.33
7e1d6273cea793df3db6ade4d59fd8f463b3857b,3.33
6137ec2fff52711285dc85d242edbc35423fca91,4.34
3486e9da1778bd86004395dd348436370559cb5d,3.53
019f11e52c4130a82c32ed11a96114a82ebf7e83,0.00
47995a78e851efefa0645e167df6e65adb6943ac,0.00
673dde3c7bcd98523b58de7cc5c6d97cc3316972,3.67
dea895d5cb9a65c9a5146c2c8d2b3c6d56acf7be,5.00
52d0b6f07131d3e4a136071b4a73c0ec08ddd471,4.08
eacedeebd5629451e40ceedabc0610470b06756d,3.47
aeeb35da122f86fe53d964024b001cb74109a4df,4.00
af73a316a7f6c16be25d745a49c318c236d03662,4.28
94ae56b1e2d56c00f4e6d3ec898a168bf5c32f99,4.00
57477c403a85ccb1388c5d5cb4e01485f4d77b82,3.94
c8a83f1b3d39933c6c275f2dc2a5e96e5cd457ce,0.00
8ce4a3a0c5c765b57c1012bbc6ef113d73dcd501,4.04
e1bbebca18dde945f8c82ffe41797884fe762956,3.50
ce2364e789374b3d754b3f9ce20eb5f8451cd72f,3.53
619012d9bf9b55072597d7c0134b01ce4e306c8f,4.32
6460444ef5ca985f55be3b71c2e210ce7e75cf18,5.00
1f80c463163e4a474162add92b3f653e5490a808,3.77
d7a18389b9e9bff55272aa7f214731ff43ca763f,3.21
8e28b20ef83674ce1b47736a5713215f0ced8dcf,3.50
496e39891b0ff06ff0bd8f7183b0adb2ec1fa08b,3.95
0198ebfd91ec1bc7eb9a711afe4c6a0bad95c68b,2.50
92e7517b81d258d437f470a0a889d34eefc2605d,2.20
358ff67588651bdc34cb15d219658d97d6101601,4.57
1814a0b1036b8e01537b7c50f23eb07e672d0f59,4.10
029e15171f42bf65ff53e994aa101729f7acca7f,5.00
07469053b0f16f025810254870e0ba4161d91e33,0.00
c65bbf7da0cff56ccd9d9885fe52957225b3571e,0.00
3974f6864c66b590c56b7b8212953211e69ce43f,3.65
4633a63606b83eda904384800488b0afe42cd3c6,3.65
08012eb5b2834da300edf798eb6e4947e79c4000,2.50
6f8314779848ae20b71149c02859cb5a923100cc,4.31
9c19fa52b354d773f97390104b8815db6224c5ad,3.24
cc8c5a78a740678a49403aea004b0f99c6f9618f,4.11
d2bc776719ab8b721f68862c3fc07c3cdd1fc01d,3.12
2b4c8d5c77ce02e3052bd59bdc39df76d0740a4d,3.76
ef547badb8b0801d06a93155cc052341c749d1c0,3.75
10e98d1a0683ba60c73bc4b89ddc2ee833ee3c10,3.67
0826520faf959b846120af16cd157109c8bdf3f8,3.66
